time,currentactivity,cause,timespent,part,uuid,nextactivity,group,message,slide,height,id,width,gridString
2022-11-27 18:36:30.527,42.0,screenChange,0.434,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,43.0,,,,,,,
2022-11-27 18:36:30.854,43.0,screenChange,0.327,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,44.0,,,,,,,
2022-11-27 18:36:31.275,44.0,screenChange,0.421,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,45.0,,,,,,,
2022-11-27 18:36:31.762,45.0,screenChange,0.486,Instruction,6c890410-2b93-4e90-866c-2a38db21ce00,46.0,,,,,,,
2022-11-27 18:36:34.537,,,,assessment,6c890410-2b93-4e90-866c-2a38db21ce00,,,No,1.0,,,,
2022-11-27 18:36:37.411,,,,assessment,6c890410-2b93-4e90-866c-2a38db21ce00,,,IDk,2.0,,,,
2022-11-27 18:36:40.165,,,,assessment,6c890410-2b93-4e90-866c-2a38db21ce00,,,GAh,3.0,,,,
2022-11-27 18:36:43.443,,,,assessment,6c890410-2b93-4e90-866c-2a38db21ce00,,,Diarrhea,4.0,,,,
2022-11-27 18:36:49.604,,,,assessment,6c890410-2b93-4e90-866c-2a38db21ce00,,,Fish,6.0,,,,
2022-11-27 18:36:58.827,,,,assessment,6c890410-2b93-4e90-866c-2a38db21ce00,,,This sucked,8.0,,,,
